name,lcd,pld,void_fraction,surface_area_m2g,elements,uptake_0.01,uptake_0.05,uptake_0.1,uptake_0.5,uptake_2.5
hMOF-5023473,8.75,7.25,0.838454,5884.4,"Zn,O,C,N,H",0.0202004,0.0695359,0.160993,0.745028,3.82486
hMOF-5019924,9.75,5.25,0.78008,3630.7,"Zn,O,C,H,Cl",0.0384897,0.214544,0.434677,1.8702,9.66547
hMOF-5019889,7.75,6.75,0.670608,2955.3,"Zn,O,C,H",0.0795731,0.475589,0.850149,3.02807,10.2519
hMOF-27001,6.25,4.25,0.744188,1604.6,"O,Zn,C,N,H,Br",0.169013,0.752402,1.26958,3.59767,5.70297
hMOF-5005364,14.25,13.25,0.8782,4777.1,"Zn,O,C,H",0.0173065,0.119348,0.189698,0.916011,4.47689
hMOF-5053992,8.25,6.75,0.80319,4559.0,"O,Zn,C,N,H,F",0.0295597,0.153447,0.297636,1.58582,10.3181
hMOF-5858,8.75,7.75,0.665344,2800.0,"Zn,O,C,H",0.0387348,0.311815,0.563591,1.74513,6.22907
hMOF-7026,10.25,9.75,0.765457,3498.4,"Zn,O,C,H",0.00681789,0.0473357,0.0933077,0.524004,3.07506
hMOF-5019135,13.25,11.75,0.821216,6094.4,"Zn,O,C,H",0.0227366,0.107455,0.1899,0.810608,3.90515
hMOF-20322,5.25,4.25,0.527337,1160.4,"O,Zn,C,N,H",0.0780905,0.390544,0.75974,2.90659,5.71584
hMOF-4341,7.25,6.25,0.635823,2148.4,"Zn,O,C,H",0.136363,0.572591,1.24665,4.16942,9.11349
hMOF-5014755,3.25,2.75,0.109014,0.0,"Zn,O,C,H,Cl",0.283674,0.592528,0.782459,1.1126,1.25362
hMOF-5003146,10.25,9.25,0.737382,3425.5,"Zn,O,C,H",0.076096,0.492558,0.581661,2.29492,6.7982
hMOF-5019397,10.75,9.75,0.757128,4155.5,"Zn,O,C,H,F",0.14013,0.537007,0.820338,2.56074,7.17557
hMOF-5023787,20.25,18.75,0.888219,5325.4,"Zn,O,C,N,H",0.0109317,0.0534767,0.0992716,0.599864,2.72741
hMOF-5050754,4.75,3.75,0.277549,207.9,"O,Zn,C,N,H,Br",0.210975,0.614168,0.925823,1.24493,1.50428
hMOF-13631,7.75,5.75,0.692465,2215.4,"Zn,O,C,H,Cl",0.0809409,0.426891,0.765775,3.2092,7.83606
hMOF-5046559,9.75,8.75,0.735831,4368.9,"O,Zn,C,N,H",0.0621844,0.300303,0.555677,2.25099,8.11552
hMOF-12192,8.25,7.25,0.749696,3261.7,"Zn,O,C,H",0.0296601,0.210932,0.437453,1.77892,7.00848
hMOF-5046041,10.25,9.25,0.659047,2967.8,"O,Zn,C,N,H,Cl",0.0214175,0.0920634,0.210233,1.09773,5.54863
hMOF-5032953,8.75,6.75,0.697787,2494.3,"Zn,O,C,N,H,F",0.162291,0.558718,1.08979,3.95043,11.8574
hMOF-22140,8.75,7.75,0.66394,2784.7,"O,Zn,C,N,H",0.0105119,0.0429618,0.0879803,0.491319,2.77881
hMOF-5381,5.25,4.25,0.382414,639.5,"Zn,O,C,N,H",0.143831,0.654786,1.27703,2.82398,4.23776
hMOF-5001097,4.75,3.25,0.515081,1346.9,"Zn,O,C,H,N",0.168654,0.651913,1.17574,4.07367,7.1538
hMOF-5003431,4.25,3.25,0.266672,206.2,"Zn,O,C",0.127705,0.420203,1.01843,2.04718,2.88689
hMOF-5043383,7.25,6.25,0.62761,3136.1,"O,Zn,C,N,H",0.0135826,0.0719877,0.135656,0.702559,4.04405
hMOF-5041252,8.25,6.75,0.563906,637.8,"O,Zn,C,N,H,Br",0.0367484,0.15881,0.364824,1.64502,3.12244
hMOF-5050831,10.75,9.75,0.686863,3612.8,"O,Zn,C,N,H",0.0251185,0.104763,0.231668,1.1032,5.37388
hMOF-5035263,3.75,2.75,0.316124,127.4,"O,Zn,C,N,H,Br",0.0263705,0.146421,0.283736,0.881424,2.15045
hMOF-5044750,8.75,7.75,0.663079,3472.4,"O,Zn,C,N,H",0.0252441,0.12389,0.255937,1.15281,4.83587
hMOF-5014342,15.75,14.75,0.833118,4735.5,"Zn,O,C,H",0.0174895,0.0723043,0.169776,0.720697,3.14566
hMOF-7271,14.25,12.75,0.848125,5208.8,"Zn,O,C,H",0.00995405,0.0816484,0.111637,0.598881,3.40025
hMOF-5054142,7.25,5.25,0.781754,2757.2,"O,Zn,C,N,H,Cl",0.0807813,0.359819,0.789055,3.428,8.43699
hMOF-25978,6.25,4.25,0.673538,2834.1,"O,Zn,C,N,H",0.0494241,0.256805,0.539075,2.58605,8.11976
hMOF-1105,12.75,11.25,0.829849,4118.5,"Zn,O,C,H",0.0222718,0.0888396,0.201188,1.09478,4.59479
hMOF-5011122,10.75,9.25,0.760936,2771.7,"Zn,O,C,H,Br",0.0221952,0.090143,0.214901,1.033,3.19371
hMOF-5024581,11.25,9.75,0.769048,3312.0,"Zn,O,C,N,H",0.0512294,0.296793,0.502834,2.05442,6.91138
hMOF-5022802,7.75,6.25,0.759751,4099.6,"Zn,O,C,N,H",0.0276307,0.152758,0.345969,1.39008,8.9984
hMOF-5026561,19.25,17.75,0.892109,3926.3,"Zn,O,C,N,H,Cl",0.0187261,0.107261,0.192971,0.82843,3.47268
hMOF-5040051,3.75,3.25,0.537547,372.7,"O,Zn,C,N,H,Br",0.553192,2.03586,3.26596,5.08772,5.9182
hMOF-5027691,9.25,7.75,0.694783,2656.7,"Zn,O,C,N,H",0.0408063,0.193404,0.364396,1.69064,4.95671
hMOF-5030003,8.25,6.25,0.7477,3762.7,"Zn,O,C,N,H",0.0471934,0.22442,0.474255,2.26917,10.21
hMOF-5050624,6.75,3.75,0.455372,1421.0,"O,Zn,C,N,H",0.0319907,0.155715,0.326642,1.35168,4.75466
hMOF-5035971,6.25,5.25,0.652002,2772.2,"O,Zn,C,N,H",0.161188,0.775544,1.601,5.23476,11.0456
hMOF-9777,4.25,2.75,0.26605,178.3,"Zn,O,C,H,F",0.696426,1.50608,1.60886,2.10257,2.47537
hMOF-10844,10.75,9.75,0.773639,3668.8,"Zn,O,C,N,H",0.031443,0.133548,0.264955,1.128,4.71882
hMOF-5002422,9.25,8.25,0.789402,4734.3,"Zn,O,C,H",0.0240357,0.106896,0.227074,1.20406,5.7959
hMOF-5005492,7.25,5.25,0.686894,2579.3,"Zn,O,C,H",0.0856449,0.429849,0.870339,3.61192,10.348
hMOF-26920,14.25,12.75,0.837628,4195.1,"O,Zn,C,N,H",0.0183377,0.0838294,0.165722,0.79786,3.45329
hMOF-5058423,10.75,9.25,0.821472,4391.0,"O,Zn,C,N,H",0.0211806,0.0961814,0.198527,0.954575,5.5518
hMOF-5037009,3.25,1.25,0.11866,0.0,"O,Zn,C,N,H",0.00350794,0.0117217,0.0592072,0.172916,0.481615
hMOF-17094,17.75,16.75,0.869436,2792.1,"O,Zn,C,N,H,Br",0.00855869,0.0472868,0.0923804,0.46463,1.92694
hMOF-5017316,13.25,11.75,0.750057,4403.3,"Zn,O,C,N,H",0.0364574,0.192741,0.334733,1.31915,5.08167
hMOF-5024989,7.75,4.75,0.734492,3156.8,"Zn,O,C,N,H,F",0.167381,0.746384,1.40175,5.33421,14.149
hMOF-5021934,7.75,6.25,0.73892,3497.8,"Zn,O,C,H,Cl",0.0225185,0.121283,0.26033,1.24333,8.08186
hMOF-15840,8.25,5.75,0.61601,2082.8,"Zn,O,C,H",0.09418,0.515738,0.942229,3.67924,8.86665
hMOF-5030442,10.75,7.75,0.848962,5042.4,"Zn,O,C,N,H",0.0274193,0.129983,0.300982,1.29983,6.96323
hMOF-5000917,5.75,4.25,0.565732,1858.0,"Zn,O,C,H",0.0805076,0.355904,0.6313,3.16295,7.50911
hMOF-5012298,5.75,4.25,0.51597,1884.6,"Zn,O,C,H",0.0491687,0.270736,0.514391,2.33432,5.73838
hMOF-20627,6.25,4.75,0.58971,1512.0,"O,Zn,C,N,H",0.283414,1.43165,2.60256,5.79619,7.85108
hMOF-25980,6.25,5.25,0.649978,2411.2,"O,Zn,C,N,H",0.0648847,0.32243,0.697992,3.06738,8.58884
hMOF-5018601,6.75,5.75,0.64251,2549.3,"Zn,O,C,H",0.0319668,0.156609,0.336297,1.45471,6.87932
hMOF-5011343,6.75,3.25,0.517756,918.5,"Zn,O,C,H,Br",0.0581974,0.324923,0.499813,2.13504,4.38982
hMOF-5006817,8.75,6.25,0.754736,4178.2,"Zn,O,C,H,Cl",0.0382955,0.138658,0.296513,1.25837,6.98249
hMOF-9671,6.75,4.75,0.569503,2182.2,"Zn,O,C,H",0.0500431,0.222911,0.525408,1.36128,4.87558
hMOF-5043943,4.75,3.75,0.357747,699.4,"O,Zn,C,N,H",0.0411578,0.199033,0.396822,1.49875,3.3841
hMOF-6342,13.75,12.25,0.816117,4446.1,"Zn,O,C,N,H",0.0155494,0.0890103,0.144131,0.851828,2.68915
hMOF-17204,7.25,6.25,0.543441,1391.2,"O,Zn,C,N,H",0.0381056,0.207308,0.383503,1.87015,5.37429
hMOF-5018659,3.75,2.25,0.205332,34.7,"Zn,O,C,H,N",0.0133527,0.0863079,0.134199,0.660736,1.73444
hMOF-5026468,8.75,6.75,0.818535,5228.7,"Zn,O,C,N,H",0.0182943,0.0904882,0.135711,0.791013,3.28147
hMOF-16460,8.25,6.75,0.734743,2854.1,"Zn,O,C,H,F",0.138735,0.522572,1.00754,3.38587,10.0444
hMOF-5027028,9.75,8.75,0.839125,4333.7,"Zn,O,C,N,H,F",0.0199598,0.095351,0.17941,0.86717,4.99669
hMOF-5011848,8.75,5.75,0.775333,5363.1,"Zn,O,C,H",0.0190564,0.112531,0.196039,0.964442,5.0057
hMOF-5010260,5.25,3.75,0.459609,824.1,"Zn,O,C,H",0.152636,0.693824,1.22593,4.04675,6.81712
hMOF-4512,14.75,13.75,0.822452,4079.2,"Zn,O,C,H",0.0123488,0.135744,0.157564,0.831178,2.95982
hMOF-5050275,14.25,12.75,0.877663,5520.6,"O,Zn,C,N,H",0.00671028,0.0391736,0.079798,0.348572,1.86056
hMOF-20459,11.25,10.25,0.736514,2599.9,"O,Zn,C,N,H",0.149453,0.721314,1.28678,4.00712,10.1399
hMOF-5055517,13.75,12.25,0.872918,5400.1,"O,Zn,C,N,H",0.0118326,0.0498011,0.103503,0.482148,2.41685
hMOF-5032176,11.75,9.75,0.892394,5151.3,"Zn,O,C,N,H",0.0215811,0.119613,0.289117,1.16896,5.62209
hMOF-5009743,7.75,4.75,0.655204,3084.4,"Zn,O,C,H,F",0.208473,0.944611,1.57998,5.16615,12.0655
hMOF-3937,19.75,18.25,0.886509,5162.6,"Zn,O,C,N,H",0.0110663,0.0599591,0.113882,0.668504,2.99765
hMOF-15498,12.75,10.75,0.873581,4900.8,"Zn,O,C,H",0.0286613,0.179352,0.372111,1.20164,5.97321
hMOF-22954,7.25,4.75,0.577612,1705.2,"O,Zn,C,N,H,Cl",0.106639,0.463253,0.878283,3.39971,7.20253
hMOF-5014066,9.25,7.75,0.711905,3030.9,"Zn,O,C,H",0.030239,0.150685,0.38869,1.66875,6.37448
hMOF-18508,7.75,6.75,0.701481,3869.3,"O,Zn,C,N,H",0.0171732,0.0851463,0.19595,0.902777,5.20534
hMOF-5006113,7.75,4.25,0.693114,3076.3,"Zn,O,C,H,N",0.0425651,0.183472,0.419389,1.79382,9.54761
hMOF-5015726,14.75,13.75,0.828862,4542.5,"Zn,O,C,H,N",0.0102776,0.0981304,0.122769,0.787859,3.00403
hMOF-17309,6.75,5.25,0.451736,1019.6,"O,Zn,C,N,H",0.157789,0.681138,1.07561,2.72312,5.09372
hMOF-21165,5.75,4.75,0.587132,1811.7,"O,Zn,C,N,H",0.0955234,0.448722,0.812602,3.27,7.09301
hMOF-5031140,11.25,10.25,0.844136,4218.1,"Zn,O,C,N,H",0.0689293,0.311959,0.568391,2.39831,9.53199
hMOF-5055524,13.25,11.75,0.873309,5642.9,"O,Zn,C,N,H",0.00832186,0.0387487,0.0756769,0.35823,2.00869
hMOF-5027521,17.75,15.75,0.898839,3625.1,"Zn,O,C,N,H,Br",0.00743318,0.0437986,0.0830229,0.418374,1.90564
hMOF-3000556,8.75,6.25,0.697878,4086.7,"O,Zn,N,C,H",0.0217291,0.0992163,0.229391,0.958969,4.32476
hMOF-22346,12.75,11.75,0.687879,2109.6,"O,Zn,C,N,H",0.0145525,0.0774528,0.147208,0.799063,3.42813
hMOF-5024058,11.75,10.75,0.828146,4161.5,"Zn,O,C,N,H,F",0.0394665,0.186225,0.362052,2.30146,6.55286
hMOF-5019359,16.25,14.75,0.806092,5598.0,"Zn,O,C,H,N",0.0122842,0.0705896,0.17545,0.630677,2.67324
hMOF-5039641,4.25,3.25,0.398477,415.3,"O,Zn,C,N,H",0.120897,0.544313,0.880962,2.32729,3.73506
hMOF-5052681,4.25,3.25,0.30399,333.2,"O,Zn,C,N,H,F",0.0956341,0.505595,0.980073,2.26744,4.12322
hMOF-9291,6.25,4.75,0.533384,1392.4,"Zn,O,C,H",0.128728,0.551532,0.973211,3.74141,7.06294
hMOF-5599,3.25,2.75,0.185823,6.7,"Zn,O,C,H,Br",0.0520926,0.306864,0.3862,0.95176,1.6579
hMOF-5033283,15.25,9.75,0.876517,3649.8,"Zn,O,C,N,H,Br",0.0080852,0.0447538,0.0883077,0.418148,2.16282
hMOF-4378,5.75,4.75,0.649085,2281.0,"Zn,O,C,H",0.0817567,0.479455,0.949486,3.57859,8.33932
hMOF-19830,11.25,10.25,0.801105,3305.0,"O,Zn,C,N,H,Cl",0.0176057,0.0987179,0.203095,0.912732,5.08391
hMOF-5019466,8.25,7.25,0.618031,2723.2,"Zn,O,C,H",0.0745931,0.691463,0.658422,1.80155,4.9635
hMOF-5040916,4.25,2.25,0.171299,92.4,"O,Zn,C,N,H",0.00553443,0.0245975,0.0575245,0.241055,0.853532
hMOF-24392,6.25,5.25,0.505759,805.7,"O,Zn,C,N,H,Cl",0.638624,1.83819,2.48069,3.69451,4.46574
hMOF-5055094,6.25,4.75,0.517124,1142.8,"O,Zn,C,N,H,F",0.421778,1.39042,2.0889,4.37481,6.27407
hMOF-5005271,12.75,11.25,0.824899,4685.3,"Zn,O,C,H",0.0187608,0.0642886,0.122722,0.584931,2.56222
hMOF-5057642,7.25,4.75,0.558644,862.8,"O,Zn,C,N,H,Br",0.170411,0.628149,1.00449,2.63134,4.15226
hMOF-5049448,5.75,4.25,0.711268,2846.0,"O,Zn,C,N,H",0.140986,0.713356,1.42056,6.40986,11.9633
hMOF-5012305,10.25,8.75,0.748982,4421.7,"Zn,O,C,H,N",0.0174055,0.0642665,0.151294,0.868815,3.62047
hMOF-15273,6.75,4.75,0.487863,841.3,"Zn,O,C,H,N",0.205828,0.935641,1.64332,3.78464,5.80001
hMOF-5029389,13.25,11.75,0.760848,3805.2,"Zn,O,C,N,H",0.0672246,0.311253,0.517097,1.66223,4.71421
hMOF-5051337,5.25,3.25,0.505737,1077.4,"O,Zn,C,N,H",0.293075,1.2586,1.92918,4.1044,6.04211
hMOF-16434,8.75,7.25,0.701016,3103.5,"Zn,O,C,H,N",0.0159156,0.082996,0.177208,0.917015,5.09608
hMOF-5010083,3.75,2.75,0.216603,38.2,"Zn,O,C,H,N",0.228985,0.919947,1.38853,3.21423,4.11899
hMOF-1753,11.75,10.75,0.793604,4096.4,"Zn,O,C,H",0.0243675,0.218259,0.367739,1.91206,5.2242
hMOF-5057459,4.25,3.25,0.41983,362.7,"O,Zn,C,N,H",0.917399,1.98108,2.51388,4.20551,5.15123
hMOF-1928,10.25,8.25,0.814158,4379.0,"Zn,O,C,H,N",0.018443,0.05939,0.100337,0.694914,3.381
hMOF-5019133,12.75,10.25,0.831051,5893.6,"Zn,O,C,H",0.0168096,0.103733,0.178712,0.950626,4.22529
hMOF-9199,5.25,3.25,0.453714,891.1,"Zn,O,C,H",0.118174,0.507234,0.899712,2.683,5.26293
hMOF-5027968,11.75,8.75,0.840973,4634.1,"Zn,O,C,N,H",0.0173251,0.0670317,0.132929,0.578535,3.22649
hMOF-5045366,5.75,2.75,0.354961,490.5,"O,Zn,C,N,H",0.0636764,0.259895,0.52526,1.57129,3.1207
hMOF-5027505,4.75,3.25,0.487502,849.8,"Zn,O,C,N,H,Cl",0.425799,1.39894,2.05329,3.74037,4.78242
hMOF-860,17.75,15.75,0.861525,4959.3,"Zn,O,C,H",0.032516,0.148588,0.228696,1.0952,4.42041
hMOF-5043938,9.25,7.75,0.739607,4419.6,"O,Zn,C,N,H",0.00991676,0.0377863,0.0822407,0.418384,2.14356
hMOF-12463,3.75,2.75,0.303194,24.3,"Zn,O,C,H,Cl",0.509784,1.61221,2.16496,2.76868,3.02018
hMOF-5028888,9.75,8.25,0.831747,5121.8,"Zn,O,C,N,H",0.0189982,0.0825714,0.17796,0.836376,4.50156
hMOF-5003489,7.25,5.25,0.616606,2469.9,"Zn,O,C,H,Br",0.0270157,0.105228,0.216037,1.18772,5.89452
hMOF-21451,11.25,9.75,0.760285,3112.7,"O,Zn,C,N,H",0.0334353,0.144597,0.329577,1.64065,9.00902
hMOF-3638,9.25,6.25,0.784309,4359.9,"Zn,O,C,N,H",0.0188326,0.123598,0.223202,1.06216,6.19915
hMOF-5033733,11.75,10.75,0.817391,4354.5,"O,Zn,C,N,H,F",0.0105418,0.0533889,0.114939,0.491722,3.24261
hMOF-5018018,11.25,10.25,0.793032,3916.1,"Zn,O,C,H,F",0.112707,0.200253,0.764018,2.02241,6.5177
hMOF-5025030,12.75,10.75,0.830853,4107.3,"Zn,O,C,N,H",0.199675,0.506486,1.09856,3.25229,10.1792
hMOF-5017431,7.25,6.25,0.615437,2368.1,"Zn,O,C,H,N",0.0376994,0.158529,0.305979,1.18223,3.71925
hMOF-5015411,5.25,4.25,0.407543,875.0,"Zn,O,C",0.038221,0.215411,0.449781,1.83376,4.47921
hMOF-5052321,10.25,9.25,0.762644,3434.8,"O,Zn,C,N,H",0.0165837,0.0719405,0.136991,0.757243,3.21852
hMOF-5016847,4.25,2.25,0.32467,575.8,"Zn,O,C,H,Cl",0.0596632,0.298556,0.520855,1.91219,4.17807
hMOF-5015876,10.25,9.25,0.717563,3508.2,"Zn,O,C,H",0.028781,0.191627,0.334549,1.99376,6.62591
hMOF-15178,8.25,6.75,0.756959,2518.1,"Zn,O,C,H",0.201137,1.00077,1.78248,5.34699,11.3123
hMOF-10785,7.75,4.75,0.618939,2148.6,"Zn,O,C,H",0.088539,0.49825,1.03399,3.84738,9.01306
hMOF-10634,5.25,3.25,0.461911,835.7,"Zn,O,C,H,N",0.279673,1.43701,2.22164,4.04826,5.71055
hMOF-5010500,8.75,7.75,0.66128,2823.8,"Zn,O,C,H,N",0.0361233,0.149713,0.345364,1.42238,6.03218
hMOF-5046772,5.75,3.75,0.307724,545.0,"O,Zn,C,N,H",0.033848,0.145381,0.337596,1.21227,2.6879
hMOF-17341,7.25,6.25,0.581661,2053.0,"O,Zn,C,N,H,F",0.0382408,0.194558,0.417518,2.2457,6.92986
hMOF-3947,7.25,5.75,0.583928,2048.9,"Zn,O,C,N,H",0.197962,0.624214,1.02463,2.66463,7.25264
hMOF-5049743,3.75,2.25,0.262857,83.5,"O,Zn,C,N,H",0.0295652,0.128563,0.350362,1.14108,2.6214
hMOF-5003922,16.75,15.75,0.891838,5263.4,"Zn,O,C,N,H",0.0149198,0.0935573,0.192051,0.90607,3.54957
hMOF-24619,8.75,7.75,0.751504,4056.1,"O,Zn,C,N,H",0.0255634,0.122594,0.276662,1.30895,5.86129
hMOF-14678,8.75,6.75,0.684943,2439.3,"Zn,O,C,H,N",0.0708206,0.379131,0.634756,2.36592,7.8717
hMOF-5025213,8.25,6.25,0.726767,3615.6,"Zn,O,C,N,H",0.036287,0.186329,0.36371,1.42088,6.89739
hMOF-5019947,7.25,6.25,0.557922,1002.7,"Zn,O,C,H,Br",0.055258,0.244175,0.444011,1.94194,4.38655
hMOF-24668,17.75,16.25,0.85811,5003.5,"O,Zn,C,N,H",0.00787859,0.0416088,0.0832176,0.412887,2.0392
hMOF-5020161,9.25,8.25,0.804804,4227.3,"Zn,O,C,H",0.0163792,0.0839999,0.193395,0.702504,3.62011
hMOF-6323,10.75,9.75,0.721736,3356.9,"Zn,O,C,N,H",0.0612669,0.237768,0.522095,1.49219,4.92955
hMOF-5021694,3.75,2.75,0.204131,18.1,"Zn,O,C,H",0.0442883,0.151795,0.341094,0.814023,1.44596
hMOF-5046894,11.75,10.75,0.752425,4216.2,"O,Zn,C,N,H",0.0217957,0.108792,0.191131,0.950067,4.18505
hMOF-20682,4.75,3.75,0.584315,702.7,"O,Zn,C,N,H,Br",0.560998,1.78283,2.35884,3.34928,3.92939
hMOF-5014599,4.75,2.75,0.292619,315.0,"Zn,O,C,H",0.247644,1.13777,1.4441,2.58795,3.33999
hMOF-23199,10.25,9.25,0.743458,3866.9,"O,Zn,C,N,H",0.0253791,0.146601,0.312461,1.29732,5.25675
hMOF-8573,6.75,6.25,0.621202,1980.7,"Zn,O,C,H",0.0748749,0.295095,0.54042,3.01415,8.36506
hMOF-5010364,8.25,7.75,0.651754,2228.5,"Zn,O,C,H",0.111005,0.58972,1.12342,3.96102,9.39115
hMOF-17605,4.75,2.75,0.290601,246.3,"O,Zn,C,N,H",0.113094,0.483158,0.739964,1.54281,2.37628
hMOF-5010760,4.25,3.25,0.336794,458.1,"Zn,O,C,H,N",0.0275622,0.159696,0.267141,1.19598,3.40089
hMOF-5051116,6.75,2.75,0.554747,1470.8,"O,Zn,C,N,H,F",0.170387,0.713301,1.41367,4.97769,8.19889
hMOF-5002182,9.25,8.25,0.771538,3640.6,"Zn,O,C,H",0.0302048,0.126944,0.317916,1.36367,5.72236
hMOF-5039698,5.25,3.75,0.390811,939.3,"O,Zn,C,N,H,Cl",0.0373232,0.1782,0.316881,1.42441,3.31508
hMOF-23529,8.25,7.25,0.652799,2491.6,"O,Zn,C,N,H",0.0249943,0.116587,0.238079,1.17204,5.47486
hMOF-5013915,9.75,8.75,0.694023,2758.6,"Zn,O,C,H,Cl",0.0495818,0.261224,0.54223,2.14102,6.69126
hMOF-11110,8.75,4.25,0.705591,2398.2,"Zn,O,C,H",0.119908,0.664009,1.13872,4.17171,10.7686
hMOF-5044180,11.75,10.75,0.810741,5675.7,"O,Zn,C,N,H",0.00588706,0.0329675,0.0644212,0.311846,1.69228
hMOF-23948,11.25,10.75,0.805878,4647.3,"O,Zn,C,N,H,F",0.0132382,0.0743859,0.153972,0.799491,4.3251
hMOF-18125,14.75,13.75,0.866643,6001.9,"O,Zn,C,N,H,F",0.00711373,0.0438141,0.0903767,0.428602,2.42206
hMOF-5016235,11.75,10.75,0.831372,4311.3,"Zn,O,C,H",0.0210106,0.0887562,0.199466,1.08797,5.15284
hMOF-5037768,4.75,3.75,0.588546,2207.5,"O,Zn,C,N,H",0.104644,0.510743,0.977658,3.88589,7.88742
hMOF-5046736,6.75,4.25,0.593131,2709.8,"O,Zn,C,N,H",0.0209486,0.0941231,0.183446,0.925447,4.61363
hMOF-5006649,5.75,2.75,0.528907,1370.5,"Zn,O,C,H",0.161944,0.722651,1.15637,3.54665,6.53365
hMOF-3397,5.75,3.75,0.457694,767.0,"Zn,O,C,N,H,Cl",0.267304,1.07086,1.64269,3.30523,4.36973
hMOF-9778,10.75,10.25,0.787308,3558.7,"Zn,O,C,H,F",0.109013,0.92919,0.956061,2.9002,5.94228
hMOF-5033102,8.25,5.75,0.714934,1752.7,"Zn,O,C,N,H,Br",0.0788868,0.340119,0.631247,2.34681,6.56305
hMOF-5046492,4.75,2.25,0.133671,86.8,"O,Zn,C,N,H",0.0970379,0.346354,0.467332,0.816041,1.18369
hMOF-5016320,5.75,4.75,0.448419,1032.4,"Zn,O,C,H,F",0.135378,0.808622,1.3479,4.13493,7.0624
hMOF-5032616,4.25,2.75,0.508225,628.9,"Zn,O,C,N,H,F",0.625738,2.36602,3.53591,6.36347,8.08588
hMOF-2000037,8.25,5.25,0.502688,1353.1,"O,Zn,C,H",0.0730506,0.239168,0.540712,2.28173,5.83052
hMOF-21879,14.25,13.25,0.795622,4514.4,"O,Zn,C,N,H",0.010791,0.0468556,0.10649,0.495533,2.70314
hMOF-5041664,4.75,3.25,0.341231,276.4,"O,Zn,C,N,H",0.1255,0.618133,1.01504,2.32375,3.57361
hMOF-6562,10.25,9.25,0.759798,3590.8,"Zn,O,C,H",0.0295323,0.171675,0.303675,1.64725,6.69249
hMOF-5030434,9.75,8.25,0.746033,3121.5,"Zn,O,C,N,H",0.0299919,0.142747,0.26575,1.38527,6.14331
hMOF-11272,10.75,9.25,0.779378,3636.6,"Zn,O,C,H,N",0.025358,0.152869,0.234712,1.08246,5.18626
hMOF-5015731,5.25,3.25,0.445177,881.2,"Zn,O,C,H,N",0.438356,1.52866,2.39019,4.4908,6.51038
hMOF-5034485,4.25,3.25,0.278335,303.6,"O,Zn,C,N,H",0.134792,0.508001,0.747167,1.48334,2.06117
hMOF-5057659,12.25,10.75,0.847998,4126.7,"O,Zn,C,N,H",0.0172295,0.0800573,0.150097,0.761626,4.01128
hMOF-5026968,9.25,5.25,0.766189,3402.6,"Zn,O,C,N,H",0.114899,0.565707,1.11967,3.83082,12.2544
hMOF-5014671,10.75,9.75,0.752434,2462.0,"Zn,O,C,H,Br",0.0178243,0.120608,0.140567,0.789287,3.70063
hMOF-14760,6.25,5.25,0.666048,2899.9,"Zn,O,C,H",0.0521628,0.255212,0.532833,2.61076,8.61035
